study_id,site_id,pollinator,guild,sampling_method,abundance,total_sampled_area,total_sampled_time,total_sampled_flowers,Description
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Andrena  ,other_wild_bees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Apis mellifera,honeybees,5 minute focal observation,6,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Bombus lapidarius,bumblebees,5 minute focal observation,4,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Bombus terrestris/lucorum,bumblebees,5 minute focal observation,7,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Eristalis,syrphids,5 minute focal observation,17,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,fly,other_flies,5 minute focal observation,12,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Helophilus,syrphids,5 minute focal observation,5,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Melanostoma,syrphids,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,AK,Other solitary bee,other_wild_bees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Andrena  ,other_wild_bees,5 minute focal observation,2,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Apis mellifera,honeybees,5 minute focal observation,10,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Bombus hortorum,bumblebees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Bombus lapidarius,bumblebees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Bombus pascuorum,bumblebees,5 minute focal observation,3,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Bombus terrestris/lucorum,bumblebees,5 minute focal observation,4,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Eristalis,syrphids,5 minute focal observation,7,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,fly,other_flies,5 minute focal observation,15,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Melanostoma,syrphids,5 minute focal observation,2,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,JL,Rhingia campestris,syrphids,5 minute focal observation,4,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Apis mellifera,honeybees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Bombus pascuorum,bumblebees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Eristalis,syrphids,5 minute focal observation,13,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,fly,other_flies,5 minute focal observation,10,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Helophilus,syrphids,5 minute focal observation,3,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Hoverfly A,syrphids,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Other solitary bee,other_wild_bees,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Pararge aegeria,lepidoptera,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
Dara_Stanley_Brassica_napus_Ireland_2010,NJ,Rhingia campestris,syrphids,5 minute focal observation,1,NA,210,NA,Measures per site: 6 focal observation patches and 7 sampling rounds for observational data
