study_id,pollinator,rank
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Andrena sp.1,morphospecies
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Apis mellifera,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Diptera (sp.1),morphospecies
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Syrphus sp.1,morphospecies
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Syrphus sp. 2 (ribessi or vitripennis),morphospecies
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Bombus terrestris,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Diptera,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Bombus pascuorum,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Apidea,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2018,Xylocopa violacea,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Apis mellifera,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus terrestris,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Melanostoma sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena flavipes,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus hortorum,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus pascuorum,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eristalis tenax,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eupeodes sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus scabiosae,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Halictus sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sphaerophoria scripta,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Stomorhina lunata,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Syrphus sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Syrrita pipiens,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Andrena thoracica,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Eristalinus taeniops,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Formicidae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Meliscaeva sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Oedemera nobilis,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Villa sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Bombus sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cetonia aurata,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cheilosia sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Isopoda,order
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Lasioglossum sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Nitidulidae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Volucella zonaria,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Anthomyiidae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Choromyia sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Araneus angulatus,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chrysanthia sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Mycterus sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Oxythyrea funesta,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chrysotoxum festivum,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Sarcophagidae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Cerceris sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Forficulidae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Hylaeus sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Melyridae,family
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Episyrphus balteatus,species
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Scaeva sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Chloromyia sp.,genus
Silvia_Castro_Actinidia_deliciosa_Portugal_2019,Vespidae,family
